Provinsi	Jumlah Bencana Alam - Tanah Longsor	Jumlah Bencana Alam - Banjir	Jumlah Bencana Alam - Cuaca Ekstrem
Aceh	8	65	63
Sumatera Utara	9	22	32
Sumatera Barat	13	29	47
Riau	2	16	2
Jambi	2	12	4
Sumatera Selatan	8	30	16
Bengkulu	2	15	2
Lampung	5	10	7
Kepulauan Bangka Belitung	1	12	6
Kepulauan Riau	4	1	7
DKI Jakarta	2	1	3
Jawa Barat	249	105	252
Jawa Tengah	284	111	421
DI Yogyakarta	6	6	14
Jawa Timur	46	99	267
Banten	2	9	22
Bali	9	5	20
Nusa Tenggara Barat	0	19	22
Nusa Tenggara Timur	3	1	12
Kalimantan Barat	2	19	7
Kalimantan Tengah	3	30	10
Kalimantan Selatan	10	20	58
Kalimantan Timur	9	12	2
Kalimantan Utara	1	5	1
Sulawesi Utara	4	5	6
Sulawesi Tengah	1	18	0
Sulawesi Selatan	20	46	67
Sulawesi Tenggara	3	8	4
Gorontalo	0	3	2
Sulawesi Barat	1	6	4
Maluku	7	11	7
Maluku Utara	2	11	0
Papua Barat	0	10	0
Papua	1	12	0
